anime_id,image_url
11917,https://cdn.myanimelist.net/images/anime/5/75220.jpg
205,https://cdn.myanimelist.net/images/anime/1370/135212.jpg
32282,https://cdn.myanimelist.net/images/anime/8/79353.jpg
6594,https://cdn.myanimelist.net/images/anime/1112/119225.jpg
11979,https://cdn.myanimelist.net/images/anime/6/42265.jpg
7655,
2246,https://cdn.myanimelist.net/images/anime/3/20713.jpg
25835,https://cdn.myanimelist.net/images/anime/1460/141897.jpg
2921,https://cdn.myanimelist.net/images/anime/3/45028.jpg
136,https://cdn.myanimelist.net/images/anime/1305/132237.jpg
30503,https://cdn.myanimelist.net/images/anime/1689/94850.jpg
12531,https://cdn.myanimelist.net/images/anime/1604/98654.jpg
523,https://cdn.myanimelist.net/images/anime/1110/147278.jpg
467,https://cdn.myanimelist.net/images/anime/11/50857.jpg
572,https://cdn.myanimelist.net/images/anime/10/75914.jpg
19815,https://cdn.myanimelist.net/images/anime/1074/111944.jpg
2559,https://cdn.myanimelist.net/images/anime/4/17979.jpg
392,https://cdn.myanimelist.net/images/anime/1228/111372.jpg
486,https://cdn.myanimelist.net/images/anime/1763/95397.jpg
11771,https://cdn.myanimelist.net/images/anime/11/50453.jpg
1698,https://cdn.myanimelist.net/images/anime/9/11986.jpg
5341,https://cdn.myanimelist.net/images/anime/6/59399.jpg
25781,https://cdn.myanimelist.net/images/anime/8/69497.jpg
10863,https://cdn.myanimelist.net/images/anime/1805/123188.jpg
28701,https://cdn.myanimelist.net/images/anime/1881/124810.jpg
5420,https://cdn.myanimelist.net/images/anime/1929/121700.jpg
9260,https://cdn.myanimelist.net/images/anime/1783/112810.jpg
32,https://cdn.myanimelist.net/images/anime/1404/98182.jpg
4224,https://cdn.myanimelist.net/images/anime/13/22128.jpg
2236,https://cdn.myanimelist.net/images/anime/1/2432.jpg
2685,https://cdn.myanimelist.net/images/anime/4/49129.jpg
31181,https://cdn.myanimelist.net/images/anime/8/76479.jpg
45,https://cdn.myanimelist.net/images/anime/1346/119505.jpg
2418,https://cdn.myanimelist.net/images/anime/9/87066.jpg
1365,https://cdn.myanimelist.net/images/anime/1400/94320.jpg
22297,https://cdn.myanimelist.net/images/anime/12/67333.jpg
627,https://cdn.myanimelist.net/images/anime/13/73973.jpg
10937,https://cdn.myanimelist.net/images/anime/4/72702.jpg
23755,https://cdn.myanimelist.net/images/anime/8/65409.jpg
4081,https://cdn.myanimelist.net/images/anime/1681/108439.jpg
4155,https://cdn.myanimelist.net/images/anime/1192/116784.jpg
1889,https://cdn.myanimelist.net/images/anime/12/14114.jpg
137,https://cdn.myanimelist.net/images/anime/1/137.jpg
139,https://cdn.myanimelist.net/images/anime/1/139.jpg
23317,https://cdn.myanimelist.net/images/anime/12/74392.jpg
558,https://cdn.myanimelist.net/images/anime/6/73972.jpg
5040,https://cdn.myanimelist.net/images/anime/7/21065.jpg
57,https://cdn.myanimelist.net/images/anime/11/11636.jpg
33,https://cdn.myanimelist.net/images/anime/1384/119988.jpg
5,https://cdn.myanimelist.net/images/anime/1439/93480.jpg
1842,https://cdn.myanimelist.net/images/anime/9/73971.jpg
6336,https://cdn.myanimelist.net/images/anime/12/50459.jpg
20651,https://cdn.myanimelist.net/images/anime/11/79742.jpg
1210,https://cdn.myanimelist.net/images/anime/3/52675.jpg
338,https://cdn.myanimelist.net/images/anime/9/57043.jpg
13759,https://cdn.myanimelist.net/images/anime/4/43643.jpg
6547,https://cdn.myanimelist.net/images/anime/1244/111115.jpg
5081,https://cdn.myanimelist.net/images/anime/11/75274.jpg
32867,https://cdn.myanimelist.net/images/anime/1572/133096.jpg
264,https://cdn.myanimelist.net/images/anime/1521/137978.jpg
12859,https://cdn.myanimelist.net/images/anime/6/44297.jpg
853,https://cdn.myanimelist.net/images/anime/2/71992.jpg
5460,https://cdn.myanimelist.net/images/anime/2/22558.jpg
6746,https://cdn.myanimelist.net/images/anime/10/71772.jpg
5690,https://cdn.myanimelist.net/images/anime/1084/119096.jpg
329,https://cdn.myanimelist.net/images/anime/1209/142900.jpg
34240,https://cdn.myanimelist.net/images/anime/5/82388.jpg
513,https://cdn.myanimelist.net/images/anime/5/37799.jpg
6945,https://cdn.myanimelist.net/images/anime/6/16161.jpg
1142,https://cdn.myanimelist.net/images/anime/6/11040.jpg
6811,https://cdn.myanimelist.net/images/anime/7/75570.jpg
16664,https://cdn.myanimelist.net/images/anime/1935/93606.jpg
1604,https://cdn.myanimelist.net/images/anime/1531/142751.jpg
22145,https://cdn.myanimelist.net/images/anime/6/64811.jpg
2966,https://cdn.myanimelist.net/images/anime/5/59401.jpg
31964,https://cdn.myanimelist.net/images/anime/10/78745.jpg
19363,https://cdn.myanimelist.net/images/anime/8/57995.jpg
18195,https://cdn.myanimelist.net/images/anime/10/55049.jpg
9890,https://cdn.myanimelist.net/images/anime/11/75219.jpg
